"Localidades";"Períodos";"População de 0 a 4 Anos ";"População de 5 a 9 Anos ";"População de 10 a 14 Anos ";"População de 15 a 19 Anos ";"População de 20 a 24 Anos ";"População de 25 a 29 Anos ";"População de 30 a 34 Anos ";"População de 35 a 39 Anos ";"População de 40 a 44 Anos ";"População de 45 a 49 Anos ";"População de 50 a 54 Anos ";"População de 55 a 59 Anos ";"População de 60 a 64 Anos ";"População de 65 a 69 Anos ";"População de 70 a 74 Anos ";"População de 75 Anos e Mais ";"Cód. IBGE"
"Pedreira";"2018";"11088";"10946";"10974";"12440";"13933";"13978";"14043";"13392";"12222";"10852";"9423";"7774";"6236";"4448";"2894";"3045";3537107
"Penha";"2014";"7591";"6646";"7182";"8139";"8965";"10710";"11041";"10091";"9234";"9087";"8836";"7945";"6588";"5291";"4031";"7212";
"Penha";"2018";"7414";"7216";"6651";"7446";"8517";"9533";"10754";"10630";"9656";"8964";"8793";"8353";"7269";"5892";"4499";"7394";
"Perdizes";"2014";"5221";"4754";"4711";"4992";"6376";"9407";"11005";"10294";"8344";"7780";"8038";"8007";"7125";"5678";"3905";"7452";
"Perdizes";"2018";"5132";"5138";"4797";"4893";"5442";"7125";"9819";"10988";"9837";"8192";"7817";"7998";"7691";"6627";"4938";"7880";
"Perus";"2014";"7044";"6022";"6794";"7738";"7442";"7585";"7048";"6810";"6313";"5664";"4557";"3620";"2688";"1886";"1188";"1425";
"Perus";"2018";"7212";"6642";"6083";"7098";"7893";"7673";"7392";"6871";"6541";"6023";"5229";"4161";"3204";"2307";"1513";"1632";
"Pinheiros";"2014";"3066";"2576";"2439";"2627";"3243";"5012";"6701";"6215";"5023";"4632";"4681";"4450";"4020";"3223";"2543";"5285";
"Pinheiros";"2018";"2986";"2963";"2556";"2527";"2796";"3590";"5379";"6651";"5920";"4907";"4638";"4590";"4297";"3716";"2901";"5465";
"Pirituba";"2014";"11175";"9958";"10624";"12064";"12624";"14515";"15082";"13881";"12332";"11875";"11223";"9945";"7877";"5843";"4176";"6182";
"Pirituba";"2018";"10848";"10597";"9844";"10942";"12319";"13096";"14408";"14471";"13086";"11831";"11322";"10505";"8968";"6860";"4871";"6676";
"Ponte Rasa";"2014";"5717";"5326";"5868";"6811";"6942";"7946";"8000";"7078";"6437";"6356";"6103";"5596";"4397";"3340";"2480";"3685";
"Ponte Rasa";"2018";"5428";"5382";"5198";"5958";"6761";"7027";"7702";"7445";"6566";"6085";"5948";"5652";"4933";"3772";"2755";"3901";
"Raposo Tavares";"2014";"8224";"6912";"7683";"8112";"8215";"9063";"9777";"9225";"7820";"6697";"5633";"4910";"4012";"2952";"1903";"2066";
"Raposo Tavares";"2018";"8129";"7654";"6925";"7780";"8242";"8419";"9060";"9454";"8650";"7341";"6215";"5247";"4467";"3507";"2432";"2524";
"República";"2014";"3432";"2371";"2197";"2485";"3575";"6283";"7021";"6023";"5061";"4466";"3952";"3489";"2840";"2191";"1573";"2462";
"República";"2018";"3509";"3179";"2361";"2340";"2808";"4238";"6565";"6864";"5818";"4929";"4320";"3795";"3246";"2568";"1889";"2694";
"Rio Pequeno";"2014";"9612";"7138";"7748";"8449";"8897";"10785";"11367";"10348";"8970";"8291";"7486";"6427";"5001";"3750";"2637";"3847";
"Rio Pequeno";"2018";"9600";"8660";"7050";"7851";"8563";"9281";"10687";"10836";"9665";"8491";"7788";"6929";"5737";"4358";"3099";"4169";
"Sacomã";"2014";"16592";"15610";"16675";"18396";"19462";"22694";"24032";"21925";"19195";"17533";"16074";"13786";"10739";"7784";"5627";"8604";
"Sacomã";"2018";"16151";"16103";"15648";"17264";"19192";"20663";"23011";"23299";"20909";"18424";"16837";"15137";"12568";"9464";"6643";"9454";
"Santa Cecília";"2014";"4701";"3541";"3459";"3989";"5253";"8009";"9052";"7923";"6682";"6209";"5831";"5390";"4598";"3629";"2723";"5143";
"Santa Cecília";"2018";"4805";"4428";"3558";"3694";"4420";"5982";"8364";"8884";"7641";"6574";"6096";"5665";"5082";"4185";"3158";"5284";
"Santana";"2014";"6058";"4838";"5158";"6199";"7301";"9585";"10245";"9174";"8176";"8203";"8599";"8262";"7066";"5410";"4037";"7959";
"Santana";"2018";"5962";"5581";"4750";"5338";"6442";"7767";"9560";"9741";"8633";"7875";"7995";"8196";"7614";"6237";"4570";"7943";
"Santo Amaro";"2014";"3677";"3352";"3477";"3805";"4238";"5142";"5929";"6085";"5725";"5368";"5371";"4936";"4373";"3687";"2918";"5141";
"Santo Amaro";"2018";"3537";"3622";"3429";"3697";"4115";"4581";"5376";"6020";"6053";"5633";"5371";"5219";"4703";"4052";"3280";"5451";
"São Domingos";"2014";"5426";"5141";"5500";"6113";"6382";"7301";"7585";"6982";"6347";"6101";"5580";"4825";"3849";"3037";"2233";"3097";
"São Domingos";"2018";"5202";"5227";"5101";"5644";"6259";"6633";"7264";"7276";"6631";"6110";"5790";"5205";"4353";"3408";"2563";"3446";
"São Lucas";"2014";"8179";"8015";"8419";"9356";"10238";"12124";"12511";"11380";"10278";"10022";"10018";"8569";"7044";"5509";"4268";"6896";
"São Lucas";"2018";"7876";"7967";"7940";"8641";"9700";"10767";"12095";"11986";"10825";"9898";"9769";"9340";"7831";"6250";"4714";"7355";
